USD/CAD,EUR/CAD,DEM/CAD,FRF/CAD,JPY/CAD,GBP/CAD,CHF/CAD,AUD/CAD,HKD/CAD,NZD/CAD
0.65557,0.71261,1.3937,4.6744,76.453,0.44960,1.09337,1.2387,5.1133,1.5288
0.65462,0.72260,1.4133,4.7399,75.758,0.45167,1.10767,1.2489,5.1060,1.5385
0.65070,0.71013,1.3889,4.6581,75.132,0.44859,1.09063,1.2262,5.0752,1.5108
0.65108,0.70786,1.3845,4.6433,75.586,0.45090,1.08838,1.2297,5.0783,1.5110
0.64969,0.71413,1.3967,4.6844,75.075,0.45009,1.09613,1.2425,5.0675,1.5168
0.65079,0.71741,1.4031,4.7059,75.815,0.45220,1.09987,1.2429,5.0761,1.5138
0.65019,0.71685,1.4020,4.7022,75.758,0.45006,1.09854,1.2389,5.0716,1.5117
0.65045,0.71500,1.3984,4.6901,75.529,0.44944,1.09818,1.2463,5.0735,1.5090
0.65304,0.71803,1.4043,4.7100,76.162,0.45216,1.10266,1.2524,5.0936,1.5258
0.65535,0.71788,1.4040,4.7090,76.162,0.45488,1.10363,1.2516,5.1116,1.5165
0.65291,0.70872,1.3861,4.6489,76.570,0.45224,1.09242,1.2439,5.0927,1.5163
0.64691,0.69619,1.3616,4.5667,75.873,0.44462,1.07089,1.2288,5.0459,1.4923
0.64583,0.69137,1.3522,4.5351,76.864,0.43854,1.06372,1.2195,5.0374,1.4765
0.64629,0.69570,1.3607,4.5635,76.982,0.44008,1.06883,1.2379,5.0410,1.4912
0.65019,0.69823,1.3656,4.5801,77.280,0.44375,1.07446,1.2549,5.0714,1.5069
0.64558,0.69594,1.3611,4.5651,77.399,0.44170,1.07032,1.2677,5.0354,1.5232
0.64549,0.69575,1.3608,4.5638,77.160,0.44024,1.07124,1.2681,5.0348,1.5316
0.64587,0.69319,1.3558,4.5470,77.280,0.44012,1.06883,1.2705,5.0375,1.5382
0.64483,0.69319,1.3558,4.5470,77.760,0.43929,1.06735,1.2650,5.0295,1.5335
0.64637,0.70601,1.3808,4.6312,77.700,0.44520,1.08814,1.2842,5.0416,1.5477
0.64379,0.70477,1.3784,4.6230,77.882,0.44403,1.08378,1.2922,5.0215,1.5444
0.64119,0.70872,1.3861,4.6489,78.370,0.44468,1.09051,1.2962,5.0012,1.5554
0.63816,0.71485,1.3981,4.6891,78.431,0.44729,1.09493,1.2920,4.9773,1.5404
0.63706,0.70922,1.3871,4.6522,78.064,0.44723,1.08660,1.2786,4.9691,1.5270
0.64074,0.70766,1.3841,4.6420,78.616,0.44853,1.08637,1.2820,4.9974,1.5307
0.63589,0.70877,1.3862,4.6492,78.616,0.44446,1.08660,1.2872,4.9596,1.5321
0.63565,0.71592,1.4002,4.6961,78.740,0.44685,1.09613,1.2923,4.9576,1.5345
0.63841,0.71526,1.3989,4.6918,78.247,0.44659,1.09565,1.2862,4.9796,1.5288
0.64321,0.71818,1.4046,4.7110,78.989,0.44827,1.10351,1.2882,5.0170,1.5485
0.63723,0.71505,1.3985,4.6904,78.370,0.44579,1.09565,1.2839,4.9704,1.5482
0.63816,0.71865,1.4056,4.7140,78.247,0.44456,1.10035,1.2922,4.9777,1.5576
0.63605,0.72213,1.4124,4.7368,78.555,0.44480,1.10169,1.2917,4.9612,1.5625
0.63396,0.72114,1.4104,4.7303,79.618,0.44693,1.10084,1.2984,4.9443,1.5699
0.63496,0.71948,1.4072,4.7195,80.451,0.44705,1.09938,1.3142,4.9516,1.5868
0.63335,0.70962,1.3879,4.6548,79.491,0.44267,1.08436,1.3036,4.9393,1.5684
0.63719,0.70681,1.3824,4.6364,79.872,0.44401,1.08026,1.3021,4.9701,1.5738
0.63343,0.70572,1.3803,4.6292,78.740,0.44393,1.07805,1.2937,4.9398,1.5667
0.64049,0.71154,1.3917,4.6674,79.428,0.44528,1.08909,1.2912,4.9948,1.5795
0.63930,0.70922,1.3871,4.6522,79.808,0.44177,1.08389,1.2920,4.9859,1.5793
0.64259,0.72301,1.4141,4.7427,80.000,0.44737,1.10302,1.2990,5.0120,1.5949
0.64021,0.72286,1.4138,4.7416,79.872,0.44609,1.09794,1.2731,4.9930,1.5843
0.64107,0.71834,1.4049,4.7120,79.177,0.44522,1.09325,1.2610,4.9999,1.5723
0.64016,0.72239,1.4129,4.7385,79.745,0.44563,1.09951,1.2536,4.9929,1.5652
0.64189,0.72812,1.4241,4.7762,79.365,0.44924,1.11074,1.2694,5.0066,1.5828
0.63723,0.72103,1.4102,4.7297,77.942,0.44607,1.10632,1.2718,4.9701,1.5733
0.64633,0.72532,1.4186,4.7578,78.740,0.44980,1.10963,1.2707,5.0409,1.5911
0.64792,0.71736,1.4030,4.7056,79.365,0.44916,1.09661,1.2502,5.0534,1.5557
0.64666,0.72171,1.4115,4.7341,78.678,0.44964,1.10509,1.2771,5.0434,1.5721
0.64591,0.72192,1.4119,4.7355,78.864,0.44962,1.10534,1.2824,5.0374,1.5810
0.64629,0.71999,1.4082,4.7229,78.989,0.44883,1.10351,1.2807,5.0408,1.5760
0.64721,0.71818,1.4046,4.7110,79.681,0.44984,1.10314,1.2776,5.0477,1.5751
0.64863,0.72674,1.4214,4.7671,80.257,0.45141,1.11769,1.2710,5.0588,1.5716
0.65121,0.73389,1.4354,4.8140,80.451,0.45492,1.12956,1.2765,5.0788,1.5753
0.65197,0.72940,1.4266,4.7845,79.491,0.45471,1.12499,1.2585,5.0848,1.5538
0.65321,0.73190,1.4315,4.8010,79.491,0.45523,1.13007,1.2530,5.0946,1.5432
0.65236,0.73394,1.4355,4.8144,79.051,0.45546,1.13237,1.2563,5.0880,1.5437
0.65151,0.72897,1.4257,4.7817,78.864,0.45360,1.12701,1.2555,5.0814,1.5406
0.64922,0.72796,1.4238,4.7751,78.740,0.45080,1.12322,1.2517,5.0636,1.5387
0.64750,0.73169,1.4311,4.7996,78.740,0.45226,1.12790,1.2492,5.0503,1.5361
0.64918,0.73394,1.4355,4.8144,79.365,0.45687,1.13097,1.2430,5.0634,1.5295
0.64977,0.73899,1.4453,4.8475,79.745,0.45787,1.13559,1.2399,5.0681,1.5223
0.64504,0.73632,1.4401,4.8300,78.989,0.45473,1.12969,1.2393,5.0311,1.5295
0.64350,0.73573,1.4390,4.8261,79.239,0.45376,1.12676,1.2422,5.0192,1.5354
0.64554,0.73454,1.4366,4.8183,79.555,0.45356,1.12549,1.2422,5.0352,1.5413
0.64939,0.73448,1.4365,4.8179,80.257,0.45415,1.12537,1.2405,5.0652,1.5366
0.65113,0.73795,1.4433,4.8407,79.872,0.45510,1.13225,1.2344,5.0787,1.5274
0.65232,0.74344,1.4540,4.8766,80.645,0.45502,1.14038,1.2419,5.0880,1.5305
0.64906,0.74968,1.4662,4.9176,79.681,0.45459,1.14666,1.2402,5.0625,1.5284
0.64691,0.75233,1.4714,4.9350,77.882,0.45407,1.14850,1.2466,5.0458,1.5340
0.64629,0.75403,1.4748,4.9461,77.640,0.45819,1.14956,1.2484,5.0409,1.5293
0.64716,0.75449,1.4757,4.9491,78.125,0.45554,1.15168,1.2461,5.0478,1.5242
0.64712,0.75256,1.4719,4.9365,78.431,0.45542,1.15048,1.2433,5.0475,1.5249
0.65049,0.76092,1.4882,4.9913,78.125,0.45838,1.16036,1.2591,5.0737,1.5370
0.64683,0.75403,1.4748,4.9461,77.760,0.45391,1.14969,1.2606,5.0452,1.5504
0.64696,0.76494,1.4961,5.0176,76.923,0.45627,1.16293,1.2762,5.0461,1.5833
0.65274,0.77226,1.5104,5.0657,77.760,0.46094,1.17357,1.2832,5.0913,1.5893
0.65117,0.77065,1.5073,5.0552,77.821,0.46098,1.16986,1.2855,5.0791,1.5921
0.65244,0.76716,1.5004,5.0323,78.493,0.46215,1.16171,1.2807,5.0889,1.5893
0.65591,0.77592,1.5176,5.0897,78.927,0.47150,1.17925,1.2755,5.1159,1.5931
0.65751,0.77298,1.5118,5.0704,78.864,0.47292,1.17758,1.2658,5.1284,1.5713
0.65746,0.77274,1.5113,5.0688,79.302,0.47576,1.17841,1.2536,5.1277,1.5703
0.65959,0.78284,1.5311,5.1351,80.515,0.48038,1.19005,1.2620,5.1441,1.5798
0.65600,0.77346,1.5127,5.0735,79.872,0.47601,1.17841,1.2522,5.1161,1.5676
0.65872,0.77149,1.5089,5.0606,80.257,0.47346,1.17911,1.2484,5.1372,1.5591
0.65729,0.76435,1.4949,5.0138,79.808,0.46933,1.16727,1.2486,5.1261,1.5850
0.65707,0.76109,1.4886,4.9924,80.775,0.46738,1.16374,1.2481,5.1247,1.5728
0.65210,0.75723,1.4810,4.9671,80.321,0.46468,1.15861,1.2449,5.0862,1.5701
0.65236,0.76225,1.4908,5.0001,80.192,0.46561,1.16482,1.2520,5.0881,1.5741
0.65325,0.76787,1.5018,5.0369,80.580,0.46801,1.17055,1.2602,5.0951,1.5805
0.65514,0.76716,1.5004,5.0323,81.500,0.46258,1.16604,1.2653,5.1099,1.5850
0.65407,0.76307,1.4924,5.0054,81.235,0.46245,1.15955,1.2650,5.1015,1.5838
0.65846,0.76464,1.4955,5.0157,81.633,0.46583,1.16198,1.2762,5.1358,1.5944
0.66028,0.76564,1.4975,5.0223,81.766,0.46627,1.16591,1.2698,5.1501,1.5868
0.65924,0.76482,1.4959,5.0169,81.900,0.46468,1.16360,1.2731,5.1418,1.5865
0.65651,0.77489,1.5156,5.0830,81.833,0.46598,1.17938,1.2847,5.1207,1.5972
0.65889,0.77748,1.5206,5.1000,82.169,0.46786,1.18385,1.2918,5.1393,1.6284
0.66120,0.77985,1.5253,5.1155,82.305,0.47030,1.18807,1.2803,5.1573,1.6252
0.66181,0.78272,1.5309,5.1343,82.372,0.47008,1.19119,1.2775,5.1621,1.6268
0.66230,0.79114,1.5473,5.1895,83.264,0.47306,1.20395,1.2862,5.1659,1.6342
0.65798,0.77718,1.5200,5.0980,82.781,0.46637,1.18036,1.2942,5.1322,1.6284
0.65742,0.77568,1.5171,5.0881,82.440,0.46694,1.18120,1.2897,5.1277,1.6158
0.65742,0.76799,1.5021,5.0377,82.508,0.46622,1.16959,1.2875,5.1277,1.6184
0.65582,0.76150,1.4894,4.9951,81.367,0.46436,1.15473,1.2935,5.1154,1.6145
0.65445,0.76711,1.5003,5.0319,81.235,0.46522,1.15982,1.2963,5.1047,1.6134
0.64965,0.76191,1.4902,4.9978,81.037,0.46406,1.15207,1.2799,5.0671,1.5944
0.64948,0.75965,1.4857,4.9830,81.500,0.46348,1.14903,1.2785,5.0659,1.5929
0.64922,0.75942,1.4853,4.9814,81.037,0.46234,1.14969,1.2814,5.0638,1.5990
0.65147,0.74845,1.4638,4.9095,80.972,0.45986,1.12701,1.2663,5.0813,1.5865
0.64863,0.74644,1.4599,4.8963,80.192,0.45702,1.12360,1.2652,5.0592,1.5669
0.64733,0.74283,1.4529,4.8727,79.491,0.45302,1.11732,1.2804,5.0489,1.5820
0.64742,0.74632,1.4597,4.8956,80.451,0.45637,1.12372,1.2745,5.0496,1.5818
0.65015,0.74305,1.4533,4.8741,80.645,0.45706,1.11907,1.2793,5.0710,1.5840
0.65041,0.73921,1.4458,4.8489,80.386,0.45533,1.11570,1.2822,5.0731,1.5770
0.65210,0.74399,1.4551,4.8803,80.775,0.45708,1.12360,1.2860,5.0862,1.5823
0.65164,0.74477,1.4566,4.8854,80.321,0.45693,1.12385,1.2867,5.0825,1.5828
0.65351,0.74677,1.4606,4.8985,81.833,0.45825,1.12841,1.2917,5.0971,1.5835
0.65347,0.74666,1.4603,4.8978,81.633,0.45848,1.12892,1.2863,5.0969,1.5876
0.65113,0.74052,1.4483,4.8575,81.301,0.45428,1.11694,1.2604,5.0785,1.5696
0.64885,0.73621,1.4399,4.8292,80.257,0.45393,1.11086,1.2495,5.0606,1.5490
0.65155,0.73692,1.4413,4.8339,80.451,0.45650,1.11111,1.2582,5.0815,1.5516
0.65189,0.74283,1.4529,4.8727,80.710,0.46009,1.11882,1.2637,5.0842,1.5542
0.65215,0.74278,1.4527,4.8723,80.321,0.46130,1.11669,1.2574,5.0864,1.5430
0.64982,0.73115,1.4300,4.7961,79.936,0.45696,1.10059,1.2736,5.0683,1.5363
0.64927,0.72606,1.4200,4.7626,79.239,0.45469,1.09830,1.2645,5.0637,1.5230
0.64994,0.72375,1.4155,4.7475,79.555,0.45710,1.09745,1.2566,5.0690,1.5165
0.64893,0.71855,1.4054,4.7134,78.864,0.45415,1.09016,1.2478,5.0614,1.5090
0.65402,0.71736,1.4030,4.7056,78.431,0.45477,1.08980,1.2413,5.1012,1.5081
0.65312,0.71474,1.3979,4.6884,78.431,0.45241,1.08483,1.2393,5.0942,1.5002
0.64855,0.70761,1.3840,4.6416,78.064,0.44835,1.07550,1.2109,5.0586,1.4710
0.64696,0.70867,1.3860,4.6486,78.064,0.44771,1.07585,1.2151,5.0461,1.4786
0.64566,0.70822,1.3851,4.6456,77.399,0.44625,1.07492,1.2179,5.0360,1.4810
0.64784,0.70437,1.3776,4.6204,77.700,0.44559,1.07181,1.2076,5.0529,1.4588
0.64838,0.70731,1.3834,4.6397,77.700,0.44775,1.07492,1.2148,5.0572,1.4680
0.64893,0.71149,1.3916,4.6671,77.942,0.44930,1.08178,1.2222,5.0616,1.4788
0.64842,0.71245,1.3934,4.6734,77.882,0.44938,1.08225,1.2270,5.0576,1.4786
0.64931,0.71327,1.3950,4.6787,78.247,0.44773,1.08120,1.2265,5.0645,1.4754
0.64683,0.71088,1.3904,4.6631,77.459,0.44538,1.07945,1.2201,5.0452,1.4665
0.64675,0.70636,1.3815,4.6334,77.220,0.44340,1.07135,1.2130,5.0445,1.4616
0.64612,0.71073,1.3901,4.6621,76.746,0.44502,1.07817,1.2255,5.0395,1.4758
0.64400,0.72611,1.4201,4.7630,76.923,0.44571,1.09926,1.2352,5.0231,1.4903
0.64099,0.72036,1.4089,4.7252,77.399,0.44033,1.08921,1.2330,4.9996,1.4826
0.64168,0.71752,1.4033,4.7066,77.579,0.44063,1.08530,1.2274,5.0050,1.4717
0.63788,0.70537,1.3796,4.6269,76.570,0.43600,1.06975,1.2265,4.9753,1.4648
0.63881,0.71053,1.3897,4.6608,77.340,0.43794,1.07759,1.2441,4.9827,1.4806
0.63857,0.69959,1.3683,4.5890,76.046,0.43423,1.04822,1.2247,4.9807,1.4695
0.64136,0.70756,1.3839,4.6413,76.687,0.43800,1.06519,1.2433,5.0018,1.5031
0.63751,0.70038,1.3698,4.5942,75.758,0.43307,1.05341,1.2370,4.9725,1.5126
0.63926,0.69415,1.3576,4.5534,75.075,0.43531,1.03767,1.2421,4.9861,1.5076
0.63739,0.69252,1.3545,4.5426,75.019,0.43482,1.02902,1.2715,4.9716,1.5468
0.63662,0.68985,1.3492,4.5251,74.738,0.43531,1.02187,1.2847,4.9655,1.5470
0.63642,0.68301,1.3359,4.4803,74.683,0.43251,1.00908,1.2915,4.9636,1.5492
0.63682,0.68747,1.3446,4.5095,73.801,0.43446,1.01348,1.2930,4.9669,1.5458
0.63674,0.69935,1.3678,4.5874,74.349,0.43766,1.00918,1.3135,4.9665,1.5731
0.63727,0.69759,1.3644,4.5759,74.850,0.43639,1.02082,1.3002,4.9705,1.5795
0.63646,0.68980,1.3491,4.5248,74.906,0.43281,1.01204,1.2873,4.9642,1.5554
0.63577,0.68861,1.3468,4.5170,74.963,0.43118,1.01740,1.2984,4.9587,1.5691
0.63319,0.68918,1.3479,4.5207,75.758,0.42981,1.02135,1.2997,4.9385,1.5833
0.63331,0.69599,1.3612,4.5654,75.506,0.43087,1.02512,1.2797,4.9395,1.5547
0.63335,0.69137,1.3522,4.5351,76.167,0.42836,1.02564,1.2862,4.9394,1.5554
0.63743,0.69662,1.3625,4.5695,76.965,0.43558,1.03391,1.2873,4.9712,1.5694
0.63771,0.69435,1.3580,4.5546,76.911,0.43195,1.02997,1.2825,4.9736,1.5559
0.63845,0.69788,1.3649,4.5778,77.030,0.43206,1.03691,1.2840,4.9795,1.5610
0.64037,0.69847,1.3661,4.5817,77.059,0.43247,1.03713,1.2642,4.9946,1.5468
0.63951,0.69862,1.3664,4.5826,76.864,0.43781,1.03541,1.2763,4.9881,1.5466
0.63780,0.69940,1.3679,4.5878,76.811,0.44004,1.03821,1.2711,4.9747,1.5423
0.63759,0.70776,1.3843,4.6426,77.525,0.44226,1.05009,1.2785,4.9732,1.5413
0.63869,0.70304,1.3750,4.6116,77.232,0.43981,1.04275,1.2731,4.9818,1.5392
0.64189,0.70736,1.3835,4.6400,77.622,0.44354,1.04548,1.2489,5.0067,1.5253
0.64025,0.70408,1.3771,4.6184,77.640,0.44218,1.04341,1.2464,4.9939,1.5270
0.63755,0.70348,1.3759,4.6145,77.143,0.43946,1.04210,1.2395,4.9729,1.5142
0.63452,0.70200,1.3730,4.6048,76.846,0.43933,1.03799,1.2469,4.9493,1.5207
0.63460,0.70596,1.3807,4.6308,76.894,0.44148,1.04178,1.2486,4.9495,1.5235
0.63359,0.71144,1.3915,4.6667,77.573,0.44407,1.05285,1.2486,4.9411,1.5263
0.63613,0.71526,1.3989,4.6918,78.094,0.44727,1.05854,1.2502,4.9617,1.5179
0.63512,0.71144,1.3915,4.6667,78.040,0.44520,1.05385,1.2503,4.9539,1.5200
0.63420,0.70731,1.3834,4.6397,77.821,0.44301,1.04493,1.2563,4.9467,1.5312
0.63484,0.71164,1.3919,4.6681,78.113,0.44242,1.04998,1.2647,4.9517,1.5328
0.63508,0.70249,1.3740,4.6081,77.519,0.43714,1.03638,1.2560,4.9536,1.5337
0.63359,0.69915,1.3674,4.5861,77.346,0.43558,1.02870,1.2524,4.9419,1.5276
0.63024,0.70087,1.3708,4.5974,77.238,0.43386,1.03061,1.2536,4.9159,1.5293
0.62854,0.69493,1.3592,4.5584,76.581,0.42970,1.02291,1.2355,4.9026,1.5149
0.62806,0.69459,1.3585,4.5562,76.412,0.42959,1.02407,1.2359,4.8988,1.5133
0.62672,0.69910,1.3673,4.5858,76.278,0.43020,1.02944,1.2343,4.8884,1.5088
0.62751,0.69940,1.3679,4.5878,76.022,0.43009,1.02923,1.2228,4.8945,1.4945
0.62751,0.69720,1.3636,4.5734,75.907,0.42830,1.02428,1.2171,4.8945,1.4930
0.62574,0.70249,1.3740,4.6081,75.132,0.43029,1.02934,1.2152,4.8806,1.4908
0.62418,0.69852,1.3662,4.5820,75.047,0.42827,1.02354,1.2136,4.8685,1.4883
0.62574,0.71018,1.3890,4.6585,75.999,0.43371,1.04297,1.2029,4.8808,1.4800
0.62830,0.71169,1.3920,4.6684,76.441,0.43543,1.04570,1.2105,4.9007,1.4916
0.63020,0.71495,1.3983,4.6898,77.154,0.44039,1.04921,1.2166,4.9155,1.5094
0.62992,0.71169,1.3920,4.6684,77.280,0.44117,1.04254,1.2098,4.9130,1.5200
0.63111,0.71870,1.4057,4.7144,77.785,0.44729,1.04954,1.2120,4.9222,1.5205
0.62763,0.71058,1.3898,4.6611,76.959,0.44258,1.03477,1.2086,4.8949,1.5113
0.62445,0.71109,1.3908,4.6644,76.899,0.44121,1.03477,1.2085,4.8702,1.5207
0.62519,0.71184,1.3922,4.6694,77.507,0.44271,1.03756,1.2101,4.8760,1.5230
0.62574,0.71342,1.3953,4.6797,77.863,0.44389,1.04384,1.2099,4.8802,1.5251
0.62500,0.70932,1.3873,4.6528,77.634,0.44246,1.04026,1.2041,4.8743,1.5140
0.62704,0.71149,1.3916,4.6671,77.833,0.44354,1.04058,1.2011,4.8902,1.5124
0.63103,0.71184,1.3922,4.6694,77.773,0.44315,1.04015,1.2095,4.9210,1.5221
0.63187,0.71169,1.3920,4.6684,78.235,0.44391,1.04537,1.2207,4.9276,1.5302
0.63621,0.71033,1.3893,4.6594,78.394,0.44647,1.04362,1.2221,4.9617,1.5270
0.63452,0.71296,1.3944,4.6767,78.610,0.44627,1.05020,1.2243,4.9485,1.5272
0.63601,0.71474,1.3979,4.6884,79.033,0.44729,1.05197,1.2332,4.9605,1.5408
0.63638,0.71855,1.4054,4.7134,79.164,0.44932,1.05887,1.2306,4.9635,1.5335
0.63424,0.71114,1.3909,4.6647,79.145,0.44488,1.04932,1.2234,4.9467,1.5209
0.63597,0.71434,1.3971,4.6857,79.898,0.44437,1.05519,1.2340,4.9599,1.5330
0.63359,0.71337,1.3952,4.6794,79.994,0.44168,1.05641,1.2306,4.9414,1.5251
0.63379,0.71159,1.3918,4.6677,80.000,0.44109,1.05075,1.2311,4.9432,1.5195
0.63881,0.71403,1.3965,4.6837,80.815,0.44222,1.05352,1.2279,4.9825,1.5211
0.63788,0.71058,1.3898,4.6611,80.587,0.44127,1.04734,1.2317,4.9753,1.5223
0.63967,0.70731,1.3834,4.6397,81.466,0.43958,1.04308,1.2336,4.9893,1.5309
0.63914,0.70691,1.3826,4.6371,81.513,0.43821,1.04362,1.2344,4.9850,1.5307
0.63573,0.70472,1.3783,4.6227,81.347,0.43641,1.03864,1.2324,4.9583,1.5211
0.63524,0.70596,1.3807,4.6308,81.427,0.43779,1.04080,1.2376,4.9542,1.5279
0.63391,0.70681,1.3824,4.6364,81.513,0.43831,1.03745,1.2556,4.9433,1.5375
0.63107,0.71190,1.3923,4.6697,81.706,0.43862,1.04351,1.2429,4.9204,1.5223
0.62755,0.71526,1.3989,4.6918,81.519,0.43613,1.06202,1.2332,4.8930,1.5085
0.62696,0.70882,1.3863,4.6495,82.420,0.43124,1.05219,1.2347,4.8887,1.5092
0.62672,0.71023,1.3891,4.6588,82.291,0.43279,1.05197,1.2256,4.8866,1.5092
0.62790,0.70497,1.3788,4.6243,82.257,0.43178,1.04199,1.2267,4.8963,1.5083
0.62582,0.69271,1.3548,4.5439,82.624,0.43303,1.02743,1.2166,4.8804,1.4786
0.62625,0.69575,1.3608,4.5638,82.515,0.43484,1.03252,1.2171,4.8836,1.4714
0.62598,0.69940,1.3679,4.5878,82.007,0.43311,1.03327,1.2051,4.8816,1.4586
0.62582,0.70087,1.3708,4.5974,81.940,0.43495,1.03284,1.2071,4.8806,1.4626
0.62696,0.70239,1.3738,4.6074,83.077,0.43461,1.03767,1.1962,4.8896,1.4518
0.62649,0.70532,1.3795,4.6266,83.050,0.43579,1.04080,1.1963,4.8856,1.4631
0.62457,0.69969,1.3685,4.5897,82.823,0.43269,1.03756,1.1950,4.8707,1.4622
0.62610,0.70289,1.3747,4.6106,82.734,0.43331,1.03928,1.2012,4.8826,1.4745
0.62613,0.70062,1.3703,4.5958,82.535,0.43230,1.03734,1.2079,4.8830,1.4797
0.62905,0.70567,1.3802,4.6289,82.488,0.43528,1.04417,1.2115,4.9057,1.4826
0.62708,0.70977,1.3882,4.6558,82.631,0.43621,1.04330,1.2164,4.8905,1.4903
0.62085,0.70472,1.3783,4.6227,81.987,0.43251,1.03477,1.2085,4.8418,1.4686
0.61989,0.70097,1.3710,4.5980,82.217,0.43139,1.03082,1.2034,4.8345,1.4626
0.62004,0.70171,1.3724,4.6029,82.189,0.43169,1.03050,1.1992,4.8357,1.4493
0.62177,0.70338,1.3757,4.6139,83.271,0.43495,1.03391,1.2001,4.8495,1.4455
0.62348,0.70557,1.3800,4.6282,83.696,0.43682,1.03821,1.1985,4.8628,1.4535
0.62422,0.71073,1.3901,4.6621,84.041,0.43863,1.04581,1.2015,4.8686,1.4605
0.62193,0.71839,1.4051,4.7123,83.626,0.44115,1.05865,1.2035,4.8507,1.4669
0.62016,0.72062,1.4094,4.7269,82.740,0.44061,1.06033,1.2006,4.8368,1.4682
0.62877,0.72743,1.4227,4.7716,83.935,0.44488,1.07078,1.2229,4.9040,1.4868
0.62846,0.72685,1.4216,4.7678,83.514,0.44375,1.07089,1.2419,4.9016,1.5131
0.62802,0.73089,1.4295,4.7943,84.126,0.44470,1.08003,1.2373,4.8982,1.5072
0.62865,0.72966,1.4271,4.7863,84.083,0.44385,1.07991,1.2369,4.9033,1.5072
0.62834,0.72317,1.4144,4.7437,83.361,0.44261,1.06940,1.2312,4.9008,1.5081
0.62586,0.72145,1.4110,4.7324,83.787,0.44170,1.06213,1.2300,4.8814,1.5019
0.62344,0.71736,1.4030,4.7056,83.368,0.44098,1.05664,1.2240,4.8626,1.4890
0.62547,0.72041,1.4090,4.7256,83.549,0.44399,1.06090,1.2340,4.8783,1.5022
0.62602,0.71752,1.4033,4.7066,84.381,0.44156,1.05798,1.2261,4.8825,1.4970
0.62901,0.71649,1.4013,4.6998,84.062,0.44179,1.05921,1.2267,4.9060,1.4952
0.62822,0.71644,1.4012,4.6995,83.431,0.43856,1.05887,1.2349,4.8999,1.5008
0.62869,0.72015,1.4085,4.7239,83.759,0.43950,1.06667,1.2359,4.9035,1.5031
